"","Gene"
"605","RHOJ"
"606","ABHD6"
"607","SYT4"
"608","KIAA1462"
"609","DPP10"
"610","CNTN3"
"611","RDH14"
"612","UBC"
"613","GINS1"
"614","PMAIP1"
"615","PPIA"
"616","RTN1"
"617","PSIP1"
"618","CDH19"
"619","END1"
"620","DNAJC12"
"621","GABBR1"
"622","AXL"
"623","TMSB15A"
"624","ZNF711"
"625","ITM2B"
"626","DEF6"
"627","ABHD4"
"628","PKNOX2"
"629","EGLN3"
"630","PERP"
"631","CENPK"
"632","ELTD1"
"633","HS1BP3"
"634","HHIP"
"635","ARAP3"
"636","DEPTOR"
"637","P2RY12"
"638","CDCP1"
"639","FGFR3"
"640","PYCRL"
"641","ZBTB10"
"642","NOTCH2"
"643","GALNT14"
"644","B7H4"
"645","SHCBP1"
"646","MMRN2"
"647","SPSB1"
"648","MYCT1"
"649","PDL2"
"650","COL18A1"
"651","PTPRO"
"652","SAA2"
"653","SLC25A32"
"654","TXNDC5"
"655","SPRY4"
"656","FCRL5"
"657","EPPK1"
"658","PLVAP"
"659","MAP2"
"660","SETDB2"
"661","USHBP1"
"662","CDCA7"
"663","CCNB1"
"664","BRIP1"
"665","AKT1S1"
"666","BEST3"
"667","TIM3"
"668","ATOH8"
"669","CASP2"
"670","CASP3"
"671","FGF1"
"672","TP53INP1"
"673","LRP8"
"674","IL17F"
"675","GALNT13"
"676","RBP7"
"677","COL6A3"
"678","NARG1"
"679","CCNE2"
"680","FAN176C"
"681","CDCA5"
"682","CD45"
"683","ATP6V1G2"
"684","CTHRC1"
"685","BCL2L1"
"686","BAX"
"687","BCL6"
"688","ANGPTL4"
"689","SPOCD1"
"690","ANKRD22"
"691","AIFM3"
"692","PIDD"
"693","CCL28"
"694","DUSP18"
"695","RASEF"
"696","KHDRBS2"
"697","SAMD9L"
"698","NXPH1"
"699","MS4A6A"
"700","RGN"
"701","FAS"
"702","RBM24"
"703","HOXC6"
"704","ZNF367"
"705","TTL"
"706","SALL3"
"707","CD8B"
"708","TLX"
"709","PSMD12"
"710","CLEC14"
"711","CTPS2"
"712","CD86"
"713","RAB7B"
"714","MEST"
"715","TUBB"
"716","MYL9"
"717","AKT3"
"718","BTLA"
"719","HKR2"
"720","GEN1"
"721","ERG"
"722","ASNS"
"723","PHLPP1"
"724","CD247"
"725","AQP1"
"726","CSMD3"
"727","RGS12"
"728","EGFL11"
"729","GALNT10"
"730","BCAN"
"731","GOLT1A"
"732","KANK3"
"733","RAC1B"
"734","EGFR"
"735","LGALS8.iso.a1"
"736","E2F7"
"737","TMEM88"
"738","DLL3"
"739","BDCA2"
"740","ZNF238"
"741","FAM119"
"742","TCF12"
"743","FN1"
"744","TLR4"
"745","TMEM191A"
"746","MGC16291"
"747","APLNR"
"748","SELL"
"749","SRGN"
"750","GGTA1P"
"751","NKX3.1"
"752","TCL1A"
"753","CRIP2"
"754","LOC390940"
"755","LOC400796"
"756","MYBL1"
"757","NKX1.2"
"758","TTC28"
